"","smokes","sex","friends","too_much_alkohol","martial_status","doing_sports","weight","income","goes_to_church","goes_to_cinema","goes_to_restaurant","drugs","law_breaking","job","class","age","education_level","unstable_income","strenuous_work","overloaded_at_work","unfair_work","income_stressful","hedonism"
"64747","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"64750","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"64768","1","male","_medium","_no","_married","_no","obesity","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_no"
"64772","0","male","_small","_yes","_single","_no","obesity","_4th_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_yes"
"64781","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"64782","1","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_Primary","_yes","_yes","_yes","_no","_yes","_yes"
"64790","0","female","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"64791","0","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"64794","1","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_Primary","_yes","_yes","_no","_yes","_yes","_yes"
"64795","1","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"64806","0","female","_medium","_no","_married","_yes","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"64808","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"64816","0","male","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_yes","_no","_no","_yes","_no"
"64851","0","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"64857","0","male","_medium","_no","_married","_no","obesity","_3rd_quantile","_no","_yes","_yes","_no","_no","_no"," city 100-200 thou.","_above_60","_Higher","_no","_no","_no","_no","_no","_no"
"64859","1","female","_medium","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_no","_no"
"64860","1","male","_many","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_no","_no"
"64866","0","female","_small","_no","_single","_yes","_normal_weight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_no","_no","_no","_no","_yes"
"64881","1","male","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_yes","_no","_yes","_no","_yes","_no"
"64898","0","female","_medium","_no","_married","_no","obesity","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_yes","_no","_yes","_yes","_yes","_yes"
"64899","0","male","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"64910","0","female","_medium","_no","_divorced/separated/widowed","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"64916","0","female","_medium","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_no","_yes","_no","_yes","_yes","_no"
"64921","0","male","_many","_no","_married","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"64925","0","male","_medium","_no","_married","_yes","obesity","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"64944","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_yes","_no","_no","_no"," village","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"64952","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"64962","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"64969","1","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"64970","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"64979","0","male","_medium","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"64985","0","female","_small","_no","_divorced/separated/widowed","_yes","_normal_weight","_3rd_quantile","_no","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_Higher","_yes","_no","_no","_yes","_yes","_no"
"64986","0","female","_small","_no","_single","_yes","_normal_weight","_1st_quantile","_no","_yes","_yes","_no","_no","_no"," city less than 20 thou.","_below_40","_middle","_no","_no","_no","_no","_no","_yes"
"64989","1","male","_small","_no","_single","_yes","_normal_weight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_Primary","_no","_yes","_yes","_yes","_no","_yes"
"64994","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"65003","0","female","_many","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"65037","1","male","_small","_yes","_single","_no","obesity","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"65052","0","male","_many","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_no","_no","_no","_no"
"65053","0","female","_many","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_yes","_no","_no","_no"
"65054","0","female","_medium","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_no","_no","_no"
"65076","1","male","_many","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_no","_yes","_yes","_no"
"65078","0","female","_many","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"65081","1","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"65087","1","female","_many","_no","_married","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"65124","1","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"65131","0","female","_small","_no","_married","_yes","_overweight","_3rd_quantile","_no","_yes","_yes","_no","_no","_no"," city less than 20 thou.","_above_60","_Higher","_no","_no","_no","_no","_no","_no"
"65132","0","male","_small","_no","_married","_yes","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_above_60","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"65133","0","female","_small","_no","_single","_yes","_normal_weight","_1st_quantile","_no","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_Higher","_yes","_no","_no","_no","_yes","_no"
"65149","0","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"65150","0","female","_many","_no","_married","_yes","_overweight","_2nd_quantile","_yes","_yes","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_no","_yes","_no","_no","_yes"
"65152","0","female","_medium","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"65155","0","female","_medium","_no","_divorced/separated/widowed","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"65156","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_Primary","_no","_no","_no","_no","_yes","_no"
"65157","0","male","_many","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"65158","1","male","_many","_no","_married","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"65159","0","female","_many","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_no","_yes","_no","_no","_no"," village","_below_40","_Higher","_no","_no","_no","_no","_yes","_no"
"65161","0","female","_many","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"65203","0","male","_small","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"65242","1","male","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_above_60","_middle","_no","_yes","_yes","_no","_no","_no"
"65244","0","female","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"65246","1","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_yes","_no"
"65247","0","female","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_Higher","_no","_no","_no","_no","_no","_no"
"65260","0","male","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"65264","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"65266","0","male","_small","_no","_single","_yes","_overweight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_Higher","_yes","_no","_no","_no","_yes","_yes"
"65267","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"65274","1","male","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"65275","1","male","_small","_no","_single","_yes","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_no","_yes","_yes","_yes","_no","_yes"
"65276","0","male","_small","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"65279","0","male","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Higher","_no","_no","_no","_no","_yes","_yes"
"65285","0","male","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_no","_yes","_yes","_yes","_yes"
"65294","0","male","_many","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"65295","1","male","_many","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"65296","0","female","_small","_no","_married","_yes","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"65297","1","female","_many","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_yes","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"65298","0","female","_small","_no","_single","_yes","_overweight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"65301","0","male","_small","_no","_married","_yes","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"65302","0","female","_medium","_no","_married","_yes","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"65307","1","male","_many","_no","_married","_no","_overweight","_1st_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"65325","0","female","_many","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"65326","0","female","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_below_40","_Higher","_no","_yes","_yes","_yes","_no","_no"
"65327","1","female","_small","_no","_single","_yes","_overweight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"65330","1","male","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_above_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"65336","0","male","_medium","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"65337","0","male","_small","_no","_married","_yes","obesity","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_below_40","_Higher","_no","_no","_yes","_yes","_yes","_no"
"65339","0","female","_many","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_yes","_yes","_no","_no","_no"," village","_below_40","_Higher","_yes","_no","_yes","_yes","_yes","_no"
"65340","0","female","_many","_no","_married","_yes","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"65375","1","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_above_60","_Higher","_no","_no","_yes","_no","_yes","_yes"
"65386","1","male","_medium","_no","_single","_no","_normal_weight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"65388","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"65389","0","female","_many","_no","_single","_no","_overweight","_1st_quantile","_yes","_yes","_yes","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"65402","0","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"65414","0","female","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_no"," city less than 20 thou.","_above_60","_Higher","_no","_no","_no","_no","_yes","_no"
"65436","1","male","_medium","_yes","_single","_no","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_no","_no","_yes","_no","_no","_no"
"65437","0","male","_small","_yes","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"65443","0","female","_small","_no","_single","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_Higher","_no","_no","_yes","_yes","_no","_no"
"65444","0","male","_medium","_no","_single","_yes","obesity","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"65445","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"65451","1","male","_many","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"65452","1","female","_many","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_yes"
"65472","0","male","_medium","_yes","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_no","_yes","_yes","_yes"
"65511","1","female","_many","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"65525","0","male","_small","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"65538","0","female","_many","_no","_divorced/separated/widowed","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Higher","_yes","_yes","_yes","_yes","_yes","_yes"
"65539","0","male","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"65540","1","male","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"65541","0","female","_medium","_no","_single","_yes","_underweight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_no"
"65547","1","female","_medium","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_no","_no","_yes","_yes"
"65560","0","male","_medium","_yes","_married","_yes","obesity","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_between_40_60","_Higher","_yes","_yes","_yes","_no","_yes","_no"
"65561","0","female","_small","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Higher","_no","_no","_yes","_no","_no","_no"
"65562","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"65574","0","male","_small","_no","_single","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"65620","0","female","_many","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"65625","0","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_no","_no","_yes","_yes","_no","_no"
"65652","0","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"65696","0","female","_many","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"65699","1","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"65724","1","male","_small","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"65729","0","male","_small","_no","_single","_no","obesity","_4th_quantile","_no","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_Higher","_no","_no","_no","_no","_no","_no"
"65730","0","female","_medium","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"65756","1","male","_small","_no","_single","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"65769","0","female","_small","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_no","_yes","_no"
"65770","1","male","_small","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_no","_yes","_no"
"65799","0","male","_small","_no","_married","_yes","_normal_weight","_3rd_quantile","_no","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"65806","0","male","_small","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 100-200 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"65816","1","male","_small","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_no","_yes","_no","_no","_no","_yes"
"65817","1","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_no","_yes","_no","_no","_no","_no"
"65818","0","male","_small","_no","_married","_yes","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"65819","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"65837","1","female","_small","_no","_married","_no","obesity","_4th_quantile","_no","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_Higher","_yes","_yes","_yes","_no","_yes","_no"
"65838","0","female","_small","_no","_single","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"65840","0","female","_small","_no","_single","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"65843","0","female","_medium","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city more than 500 thou.","_between_40_60","_middle","_yes","_yes","_no","_no","_yes","_yes"
"65850","1","female","_many","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_no","_yes","_yes","_no","_no","_yes"," city more than 500 thou.","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_yes"
"65878","0","female","_many","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_yes","_no","_no","_no","_yes"," city more than 500 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_no"
"65896","0","male","_medium","_no","_married","_yes","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city more than 500 thou.","_below_40","_middle","_no","_no","_no","_no","_yes","_yes"
"65897","0","female","_small","_no","_married","_no","_underweight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city more than 500 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_yes"
"65901","0","male","_small","_yes","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city more than 500 thou.","_between_40_60","_Higher","_yes","_no","_no","_no","_no","_no"
"65902","0","female","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city more than 500 thou.","_below_40","_Higher","_no","_no","_yes","_no","_no","_no"
"65923","0","female","_small","_no","_single","_yes","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city more than 500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"65939","1","male","_medium","_no","_married","_yes","_normal_weight","_4th_quantile","_no","_yes","_no","_no","_no","_yes"," city more than 500 thou.","_above_60","_Higher","_no","_yes","_yes","_no","_no","_no"
"65961","1","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_yes","_no","_no","_no"," city more than 500 thou.","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"65968","0","male","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"65969","0","female","_medium","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"65970","0","female","_many","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_below_40","_Higher","_no","_no","_no","_no","_yes","_no"
"65980","0","male","_many","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
